prop_paisagem_removida;remanescente;maxima;media;minima
0.33686;66.314;1;0.999431818;0.93
0.33785;66.215;1;0.999431818;0.93
0.33884;66.116;1;0.999431818;0.93
0.33984;66.016;1;0.999431818;0.93
0.34083;65.917;1;0.999431818;0.93
0.34182;65.818;1;0.999431818;0.93
0.34281;65.719;1;0.999431818;0.93
0.3438;65.62;1;0.999431818;0.93
0.34479;65.521;1;0.999431818;0.93
0.34578;65.422;1;0.999431818;0.93
0.34677;65.323;1;0.999431818;0.93
0.34776;65.224;1;0.999431818;0.93
0.34875;65.125;1;0.999431818;0.93
0.34974;65.026;1;0.999431818;0.93
0.35073;64.927;1;0.999431818;0.93
0.35172;64.828;1;0.999431818;0.93
0.35271;64.729;1;0.999431818;0.93
0.3537;64.63;1;0.999431818;0.93
0.35469;64.531;1;0.999431818;0.93
0.35568;64.432;1;0.999431818;0.93
0.35667;64.333;1;0.999431818;0.93
0.35767;64.233;1;0.999431818;0.93
0.35866;64.134;1;0.999431818;0.93
0.35965;64.035;1;0.999431818;0.93
0.36064;63.936;1;0.999431818;0.93
0.36163;63.837;1;0.999431818;0.93
0.36262;63.738;1;0.999431818;0.93
0.36361;63.639;1;0.999431818;0.93
0.3646;63.54;1;0.999431818;0.93
0.36559;63.441;1;0.999431818;0.93
0.36658;63.342;1;0.999431818;0.93
0.36757;63.243;1;0.999431818;0.93
0.36856;63.144;1;0.999431818;0.93
0.36955;63.045;1;0.999431818;0.93
0.37054;62.946;1;0.999431818;0.93
0.37153;62.847;1;0.999431818;0.93
0.37252;62.748;1;0.999431818;0.93
0.37351;62.649;1;0.999431818;0.93
0.3745;62.55;1;0.999431818;0.93
0.3755;62.45;1;0.999431818;0.93
0.37649;62.351;1;0.999431818;0.93
0.37748;62.252;1;0.999431818;0.93
0.37847;62.153;1;0.999431818;0.93
0.37946;62.054;1;0.999431818;0.93
0.38045;61.955;1;0.999431818;0.93
0.38144;61.856;1;0.999431818;0.93
0.38243;61.757;1;0.999431818;0.93
0.38342;61.658;1;0.999431818;0.93
0.38441;61.559;1;0.999431818;0.93
0.3854;61.46;1;0.999431818;0.93
0.38639;61.361;1;0.999431818;0.93
0.38738;61.262;1;0.999431818;0.93
0.38837;61.163;1;0.999431818;0.93
0.38936;61.064;1;0.999431818;0.93
0.39035;60.965;1;0.999431818;0.93
0.39134;60.866;1;0.999431818;0.93
0.39233;60.767;1;0.999431818;0.93
0.39333;60.667;1;0.999431818;0.93
0.39432;60.568;1;0.999431818;0.93
0.39531;60.469;1;0.999431818;0.93
0.3963;60.37;1;0.999431818;0.93
0.39729;60.271;1;0.999431818;0.93
0.39828;60.172;1;0.999431818;0.93
0.39927;60.073;1;0.999431818;0.93
0.40026;59.974;1;0.999431818;0.93
0.40125;59.875;1;0.999431818;0.93
0.40224;59.776;1;0.999431818;0.93
0.40323;59.677;1;0.999431818;0.93
0.40422;59.578;1;0.999431818;0.93
0.40521;59.479;1;0.999431818;0.93
0.4062;59.38;1;0.999431818;0.93
0.40719;59.281;1;0.999431818;0.93
0.40818;59.182;1;0.999431818;0.93
0.40917;59.083;1;0.999431818;0.93
0.41016;58.984;1;0.999431818;0.93
0.41116;58.884;1;0.999431818;0.93
0.41215;58.785;1;0.999431818;0.93
0.41314;58.686;1;0.999431818;0.93
0.41413;58.587;1;0.999431818;0.93
0.41512;58.488;1;0.999431818;0.93
0.41611;58.389;1;0.999431818;0.93
0.4171;58.29;1;0.999431818;0.93
0.41809;58.191;1;0.999431818;0.93
0.41908;58.092;1;0.999431818;0.93
0.42007;57.993;1;0.999431818;0.93
0.42106;57.894;1;0.999431818;0.93
0.42205;57.795;1;0.999431818;0.93
0.42304;57.696;1;0.999431818;0.93
0.42403;57.597;1;0.999431818;0.93
0.42502;57.498;1;0.999431818;0.93
0.42601;57.399;1;0.999431818;0.93
0.427;57.3;1;0.999431818;0.93
0.42799;57.201;1;0.999431818;0.93
0.42899;57.101;1;0.999431818;0.93
0.42998;57.002;1;0.999431818;0.93
0.43097;56.903;1;0.999431818;0.93
0.43196;56.804;1;0.999431818;0.93
0.43295;56.705;1;0.999431818;0.93
0.43394;56.606;1;0.999431818;0.93
0.43493;56.507;1;0.999431818;0.93
0.43592;56.408;1;0.999431818;0.93
0.43691;56.309;1;0.999431818;0.93
0.4379;56.21;1;0.999431818;0.93
0.43889;56.111;1;0.999431818;0.93
0.43988;56.012;1;0.999431818;0.93
0.44087;55.913;1;0.999431818;0.93
0.44186;55.814;1;0.999431818;0.93
0.44285;55.715;1;0.999431818;0.93
0.44384;55.616;1;0.999431818;0.93
0.44483;55.517;1;0.999431818;0.93
0.44582;55.418;1;0.999431818;0.93
0.44681;55.319;1;0.999431818;0.93
0.44781;55.219;1;0.999431818;0.93
0.4488;55.12;1;0.999431818;0.93
0.44979;55.021;1;0.999431818;0.93
0.45078;54.922;1;0.999431818;0.93
0.45177;54.823;1;0.999431818;0.93
