Táxon;Nome comum;Status global;Status nacional ;Área de ocorrência predominante;Habitat ;Status migratório ;Impacto potencial / Risco presumido
Tringa solitaria;Maçarico-solitário;LC;LC;Toda a costa, Interior;Costeiro, Interior;Migrante boreal;Colisão / -
Tringa melanoleuca;Maçarico-grande-de-perna-amarela;LC;LC;Toda a costa;Costeiro;Migrante boreal;Colisão / -
Tringa semipalmata;Maçarico-de-asa-branca;LC;LC;Toda a costa;Costeiro;Migrante boreal;Colisão / -
Tringa flavipes;Maçarico-de-perna-amarela;LC;LC;Toda a costa, mais comum no interior;Costeiro, Interior;Migrante boreal;Colisão / -
Stercorariidae;;;;;;;
Stercorarius skua;Mandrião-grande;LC;LC;Toda a costa, mais comum no Norte e Nordeste;Costeiro, Oceânico;Migrante boreal;Colisão, perda de habitat / -
Stercorarius chilensis;Mandrião-chileno;LC;NA;Sul e Sudeste;Costeiro, Oceânico;Migrante austral;Colisão, perda de habitat / -
Stercorarius maccormicki;Mandrião-do-sul;LC;LC;Toda a costa;Costeiro, Oceânico;Migrante austral, transequatorial;Colisão, perda de habitat / -
Stercorarius antarcticus;Mandrião-antártico;LC;LC;Toda a costa;Costeiro, Oceânico;Migrante austral;Colisão, perda de habitat / -
Stercorarius pomarinus;Mandrião-pomarino;LC;LC;Toda a costa;Costeiro, Oceânico;Migrante boreal;Colisão, perda de habitat / -
Stercorarius parasiticus;Mandrião-parasítico;LC;LC;Toda a costa;Costeiro, Oceânico;Migrante boreal;Colisão, perda de habitat / -
Stercorarius longicaudus;Mandrião-de-cauda-comprida;LC;LC;Toda a costa;Costeiro, Oceânico;Migrante boreal;Colisão, perda de habitat / -
Laridae;;;;;;;
Chroicocephalus maculipennis;Gaivota-maria-velha;LC;LC;Sul e sudeste;Costeiro, Interior;Residente;Colisão, perda de habitat / -
Chroicocephalus cirrocephalus;Gaivota-de-cabeça-cinza;LC;LC;Toda a costa, Interior;Costeiro, Interior;Residente;Colisão, perda de habitat / -
Leucophaeus atricilla;Gaivota-alegre;LC;LC;Norte e Nordeste;Costeiro;Migrante boreal;Colisão, perda de habitat / -
Larus atlanticus;Gaivota-de-rabo-preto;NT;NA;Sul;Costeiro;Migrante austral, Vagante(?);Colisão / Baixo
Larus dominicanus;Gaivotão;LC;LC;Sul e Sudeste;Costeiro;Residente;Colisão, perda de habitat, Atração / -
Anous stolidus;Trinta-réis-escuro;LC;LC;Nordeste e Norte;Oceânico;Residente;Colisão, perda de habitat, Atração / -
Anous minutus;Trinta-réis-preto;LC;LC;Norte e Nordeste;Oceânico;Residente, restrito a ilhas;Colisão / Baixo
Gygis alba;Grazina;LC;NT;Nordeste e Sudeste;Oceânico;Residente, restrito a ilhas;Colisão / Baixo
Rynchops niger;Talha-mar;LC;LC;Toda a costa, Interior;Costeiro, Interior, improvável deslocamentos sobre o oceano aberto;Residente, migra para o interior;Colisão / Baixo
Onychoprion fuscatus;Trinta-réis-das-rocas;LC;LC;Nordeste e Norte;Oceânico;Residente;Colisão, perda de habitat / -
Sternula antillarum;Trinta-réis-miúdo;LC;LC;Norte e Nordeste;Costeiro;Migrante boreal, Residente no MA;Colisão, perda de habitat / -
Sternula superciliaris;Trinta-réis-pequeno;LC;LC;Toda a costa, Interior;Costeiro, Interior, improvável deslocamentos sobre o oceano aberto;Residente;Colisão / Baixo
Phaetusa simplex;Trinta-réis-grande;LC;LC;Toda a costa, Interior;Costeiro, Interior, improvável deslocamentos sobre o oceano aberto;Residente;Colisão / Baixo
Gelochelidon nilotica;Trinta-réis-de-bico-preto;LC;LC;Norte e Nordeste;Costeiro, Interior, improvável deslocamentos sobre o oceano aberto;Migrante parcial no Norte;Colisão / Baixo
Sterna hirundo;Trinta-réis-boreal;LC;LC;Toda a costa;Costeiro, Nerítico;Migrante boreal;Colisão, perda de habitat / Elevado
Sterna dougallii;Trinta-réis-róseo;LC;VU;Nordeste;Costeiro, Nerítico;Migrante boreal;Colisão, perda de habitat / Elevado
Sterna paradisaea;Trinta-réis-ártico;LC;LC;Toda a costa;Oceânico, raramente Costeiro;Migrante boreal;Colisão / Moderado
Sterna hirundinacea;Trinta-réis-de-bico-vermelho;LC;VU;Sul e Sudeste;Costeiro, Nerítico;Residente, Migrante austral parcial no RS;Colisão, perda de habitat / Elevado
Sterna trudeaui;Trinta-réis-de-coroa-branca;LC;LC;Sul e sudeste;Costeiro;Migrante parcial no Sul;Colisão / Baixo
Thalasseus acuflavidus;Trinta-réis-de-bando;LC;LC;Toda a costa;Costeiro, Nerítico;Residente, Migrante austral parcial no RS;Colisão, perda de habitat / Elevado
Thalasseus maximus;Trinta-réis-real;LC;EN;Toda a costa (exceto RN a norte da BA);Costeiro, Nerítico;Migrante austral parcial no RS, Migrante boreal no Norte, Residente no Sudeste;Colisão, perda de habitat / Elevado
Phaethontidae;;;;;;;
Phaethon aethereus;Rabo-de-palha-de-bico-vermelho;LC;EN;Nordeste (Abrolhos e Fernando de Noronha);Oceânico;Residente, restrito a ilhas;Colisão, perda de habitat / Baixo
Phaethon lepturus;Rabo-de-palha-de-bico-laranja;LC;EN;Nordeste (Fernando de Noronha e Abrolhos);Oceânico;Residente, restrito a ilhas;Colisão, perda de habitat / Baixo
Spheniscidae;;;;;;;
Spheniscus magellanicus;Pinguim-de-magalhães;LC;NT;Sul e Sudeste;Nerítico;Migrante austral;Alteração de habitat de alimentação no Sul / Elevado
Diomedeidae;;;;;;;
Diomedea epomophora;Albatroz-real;VU;VU;Sul;Oceânico;Migrante austral;Colisão, perda de habitat / Moderado
Diomedea sanfordi;Albatroz-real-do-norte;EN;EN;Sul;Oceânico;Migrante austral;Colisão, perda de habitat / Moderado
Diomedea exulans;Albatroz-errante;VU;CR;Sul e Sudeste;Oceânico;Migrante austral;Colisão, perda de habitat / Moderado
Diomedea dabbenena;Albatroz-de-tristão;CR;CR;Sul;Oceânico;Migrante austral;Colisão, perda de habitat / Moderado
Phoebetria fusca;Piau-preto;EN;NA;Sul;Oceânico;Migrante austral, raro;Colisão, perda de habitat / Baixo
Thalassarche chlororhynchos;Albatroz-de-nariz-amarelo-do-atlântico;EN;EN;Sul e Sudeste;Oceânico, Nerítico;Migrante austral;Colisão, perda de habitat / Elevado
Thalassarche melanophris;Albatroz-de-sobrancelha-negra;LC;NT;Sul e Sudeste;Oceânico, Nerítico;Migrante austral;Colisão, perda de habitat / Elevado
Oceanitidae;;;;;;;
Fregetta grallaria;Painho-de-barriga-branca;LC;LC;Sudeste;Oceânico;Migrante austral, voo baixa altitude;Colisão, perda de habitat / Baixo
Fregetta tropica;Painho-de-barriga-preta;LC;LC;Sul e Sudeste;Oceânico;Migrante austral, voo baixa altitude;Colisão, perda de habitat / Baixo
Oceanites oceanicus;Alma-de-mestre;LC;LC;Toda a costa;Oceânico;Migrante austral, voo baixa altitude;Colisão, perda de habitat / Baixo
Hydrobatidae;;;;;;;
Hydrobates leucorhous;Painho-de-cauda-furcada;VU;LC;Norte e Nordeste;Oceânico;Migrante boreal, voo baixa altitude;Colisão, perda de habitat / Baixo
Procellariidae;;;;;;;
Macronectes giganteus;Petrel-grande;LC;LC;Sul e Sudeste;Oceânico, Nerítico;Migrante austral;Colisão, perda de habitat / Elevado
Macronectes halli;Petrel-grande-do-norte;LC;LC;Sul e Sudeste;Oceânico, alto mar;Migrante austral, raro;Colisão, perda de habitat / Moderado
Fulmarus glacialoides;Pardelão-Prateado;LC;LC;Sul e Sudeste;Oceânico;Migrante austral;Colisão, perda de habitat / Baixo
Daption capense;Pomba-do-cabo;LC;LC;Sul e Sudeste;Oceânico;Migrante austral;Colisão, perda de habitat / Baixo
Pterodroma madeira;Grazina-da-madeira;EN;EN;Nordeste;Oceânico, alto mar;Migrante boreal;Colisão, perda de habitat / Moderado
Pterodroma deserta;Grazina-de-desertas;VU;CR;Nordeste ao Sul;Oceânico, alto mar;Migrante boreal;Colisão, perda de habitat / Moderado
Pterodroma mollis;Grazina-delicada;LC;LC;Sul e Sudeste;Oceânico, alto mar;Migrante austral;Colisão, perda de habitat / Moderado
Pterodroma incerta;Grazina-de-barriga-branca;EN;EN;Sul e Sudeste;Oceânico, alto mar;Migrante austral;Colisão, perda de habitat / Moderado
Pterodroma arminjoniana;Grazina-de-trindade;VU;CR;Sudeste (Ilhas da Trindade e Martin Vaz) e Nordeste durante a migração;Oceânico, alto mar;Migrante para o hemisfério Norte, Residente no Brasil;Colisão, perda de habitat / Elevado no Nordeste
Pachyptila desolata;Faigão-rola;LC;LC;Sul e Sudeste;Oceânico, alto mar;Migrante austral;Colisão, perda de habitat / Moderado
Pachyptila belcheri;Faigão-de-bico-fino;LC;LC;Sul e Sudeste;Oceânico;Migrante austral, voo baixa altitude;Colisão, perda de habitat / Baixo
Bulweria bulwerii;Alma-negra;LC;NA;Sudeste e Nordeste;Oceânico;Migrante boreal, voo baixa altitude;Colisão, perda de habitat / Baixo
Procellaria aequinoctialis;Pardela-preta;VU;VU;Sul a Nordeste;Oceânico, Nerítico;Migrante austral;Colisão, perda de habitat / Elevado
Procellaria conspicillata;Pardela-de-óculos;VU;VU;Sul a Nordeste;Oceânico, alto mar;Migrante austral;Colisão, perda de habitat / Moderado
Calonectris borealis;Cagarra-grande;LC;LC;Toda a costa;Oceânico;Migrante boreal;Colisão, perda de habitat / Elevado
Calonectris edwardsii;Cagarra-de-cabo-verde;NT;NT;Sul a Nordeste;Oceânico;Migrante boreal;Colisão, perda de habitat / Elevado
Ardenna grisea;Pardela-escura;NT;LC;Toda a costa;Oceânico, Nerítico;Migrante austral;Colisão, perda de habitat / Elevado
Ardenna gravis;Pardela-de-barrete;LC;LC;Toda a costa;Oceânico, Nerítico;Migrante austral;Colisão, perda de habitat / Elevado
Puffinus puffinus;Pardela-sombria;LC;LC;Toda a costa;Oceânico;Migrante boreal;Colisão, perda de habitat / Elevado
Puffinus boydi;Pardela-de-cabo-verde;LC;LC;Nordeste e Norte;Oceânico;Migrante boreal, Vagante;Colisão, perda de habitat / Baixo
Puffinus lherminieri;Pardela-de-asa-larga;LC;CR;Sudeste e Nordeste;Oceânico;Residente, Migrante boreal, raro;Colisão, perda de habitat / Baixo
Fregatidae;;;;;;;
Fregata trinitatis;Fragata-pequena;NA;CR;Sudeste (Ilhas da Trindade e Martin Vaz);Oceânico;Residente, Endêmico da Ilha da Trindade;Colisão / Baixo
Fregata magnificens;Fragata;LC;LC;Toda a costa;Oceânico;Residente;Colisão, perda de habitat / Elevado
Fregata minor;Fragata-grande;LC;CR;Sudeste (Ilhas da Trindade e Martin Vaz);Oceânico;Residente, Endêmico da Ilha da Trindade;Colisão / Baixo
Sulidae;;;;;;;
Sula dactylatra;Atobá-grande;LC;LC;Toda a costa;Oceânico;Residente;Colisão, perda de habitat / Elevado
Sula sula;Atobá-de-pé-vermelho;LC;EN;Sudeste e Nordeste;Oceânico;Residente, restrito a ilhas;Colisão, perda de habitat / Baixo
Sula leucogaster;Atobá-pardo;LC;LC;Sul a Nordeste;Oceânico;Residente;Colisão, perda de habitat / Elevado
Nannopterum brasilianum;Biguá;LC;LC;Toda a costa, Interior;Costeiro, Interior;Residente, Deslocamentos para o interior;Colisão, perda de habitat, Atração / Moderado
